id,input,label,Abbreviation,Phonetic,Orthographic,Semantic,Emoji,Other
1,轻虐厕所🚾公车母畜,涉黄,,,,1.0,,
2,"厦门嫩茶汇
有房可外可夜
面付，无定",涉黄,,,,1.0,,
3,看上去娇小实际有料，好车,涉黄,,,,1.0,,
4,想找个mg,涉黄,1.0,,,,,
5,3米一课、番禺开、个人自聊兼职、不收任何定金、满意在做诚意的来😊😊方便停车自带房,涉黄,,,,1.0,,
6,厦门岛内个人开课，SPA水磨，全套，可上门,涉黄,,,,1.0,,
7,岛内94海选不限次,涉黄,,,,1.0,,
8,新年快乐，🈶🈳可以开始预约了，找我喝茶🍵，优惠多多，👩多多,涉黄,,,,1.0,1.0,
9,空姐模特粉嫩会撒娇,涉黄,1.0,,,,,
10,上饶鄱阳有没有妹子,涉黄,,,,1.0,,
11,福州有🏠❤️🉑️外,涉黄,1.0,,,,1.0,
12,小mg爬过来,涉黄,1.0,,,,,
13,签到🐗带房间.可外，姐系,涉黄,,,,1.0,,
14,新人开课，🉑️69舌💋，有🈳️，🈶️位，停车方便,涉黄,,,,1.0,1.0,
15,长沙包大学生,涉黄,1.0,,,,,
16,厦门湖里个人🈶️🏠不催人,涉黄,,,,,1.0,
17,木🐶加我,涉黄,,1.0,,,,
18,🈶空🉑约🉑夜,涉黄,1.0,,,,1.0,
19,兄弟转过身去，有点疼很正常😄,涉黄,,,,1.0,,
20,开课啦🈳，🉑夜🉑外,涉黄,1.0,,,,1.0,
21,人照一致🫴可外卖🥡,涉黄,,,,1.0,,
22,我有一个海角的 网址  加我吧,涉黄,1.0,,,,,
23,空🎀有🏠，专业楼风,涉黄,,1.0,,1.0,,
24,厦门岛内🉑约小jiejie,涉黄,,1.0,,,1.0,
25,学生兼职嫩妹,涉黄,,,,1.0,,
26,厦门岛内个人💋💋,涉黄,,,,,1.0,
27,新人兼职💐干净（有课室)👄,涉黄,,,,1.0,,
28,同安有房空🉑外,涉黄,,,,,1.0,
29,兰州有没有姐姐啊，拍果照，价格好说,涉黄,,,1.0,,,
30,家我，喝cha月呀月呀，活hao，包您满意,涉黄,,1.0,,,,
31,永州永州，有妹妹吗,涉黄,,,,1.0,,
32,找妈妈好幼稚的事。。妈妈妈妈妈妈妈妈,涉黄,,,,1.0,,
33,sb母狗加你爹,涉黄,1.0,,,1.0,,
34,厦门岛内外图附近，个人服务系,涉黄,,,,1.0,,
35,注意找个主人lai包🐑我,涉黄,,1.0,,,1.0,
36,良家熟女需要你调教,涉黄,,,,,,
37,想了！有喜欢小熟女的吗？互动聊骚吗😏,涉黄,,,,1.0,,
38,桑舒苒母贱畜的梅毒阴蒂被公狗咬穿孔了/爱心/爱心,涉黄,,1.0,,,,
39,🉑纯🉑御🉑吻,涉黄,1.0,,,,1.0,
40,泉州 厦门可楼可外，可夜,涉黄,1.0,,,1.0,,
41,"🉑夜🉑上门天然😼不
催课🅿️方便🌹乖巧温柔",涉黄,1.0,,,1.0,1.0,
42,极品🈳打桩速私🈶🏠面付无订,涉黄,1.0,,,1.0,1.0,
43,妈妈/比心/比心➕,涉黄,,,,1.0,,
44,福州有🏠高服务,涉黄,,,,1.0,1.0,
45,厦门岛内，火车站附近个人开课，服务系，花样多,涉黄,,,,1.0,,
46,锦州北镇沟帮子同城上🚪群大学群➕我,涉黄,,,,,1.0,
47,福州嫩妹🏡个人🌼,涉黄,1.0,,,,1.0,
48,反差女M，在校学生,涉黄,,,,1.0,,
49,出自🦌各种各样 需要的加,涉黄,,,,,1.0,
50,出各地包养女大，接预定,涉黄,,,,,,
51,泉州🈳，个人开课，💦多,涉黄,,,,1.0,1.0,
52,不可能的好吧，我就没见过有哪个女生会玩这么瑟瑟的游戏,涉黄,,1.0,,,,
53,00后找福州线下玩伴,涉黄,,,,1.0,,
54,福州找我泡茶🍵,涉黄,,,,1.0,1.0,
55,莆田上门来一个 ji,涉黄,,1.0,,,,
56,翔安嫩茶🌹,涉黄,,,,1.0,,
57,渝北江北，大学城，观音桥，佰乐街，北滨路、御姐极品学媚,涉黄,,1.0,,,,
